id,Grid cell,green_area_m2,city_level,neighborhood_level,trail,camera_surveillance,commercial_poi,public_poi,recreation_poi,housing_Owner,housing_Renter,housing_buld_age_1945 and before,housing_buld_age_1946-1990,housing_buld_age_1991 and after,housing_small_apartment,housing_large_apartment,housing_standalone_house,housing_auxiliary_house,housing_others,isco_High,isco_Medium,isco_Low,ethnical_EST,ethnical_RUS,age_0-9,age_10-19,age_20-29,age_30-39,age_40-49,age_50-59,age_60-69,age_70-79,age_80-89,age_90+,revised_landuse_11100,revised_landuse_11210,revised_landuse_11220,revised_landuse_12100,X,Y,landuse_diversity,numbers_against_public_order,numbers_violent_crime,numbers_against_property,Grid cell_count,geometry,crime_incidents
23,500mN6581000E536000,24535.049,59.857,5089.236,1038.098,0.0,3.0,0.0,0.0,639,68,83.0,365.0,344.0,8.0,39.0,79.0,0.0,12.0,194,106,129,687,86,105,98,78,137,112,95,76,63,24,6,18199.085,147098.561,26619.998,5010.783,536249.5,6581249.5,5,5.0,0.0,30.0,1.0,"POLYGON ((536000 6581000, 536000 6581499, 536499 6581499, 536499 6581000, 536000 6581000))",35.0
24,500mN6581000E536500,55079.185,542.75,5246.368,198.27,0.0,0.0,1.0,1.0,818,125,10.0,924.0,95.0,4.0,38.0,70.0,0.0,5.0,232,132,187,872,127,93,107,110,166,144,120,128,83,68,10,25762.195,119643.636,25603.144,15570.347,536749.5,6581249.5,5,13.0,0.0,95.0,1.0,"POLYGON ((536500 6581000, 536500 6581499, 536999 6581499, 536999 6581000, 536500 6581000))",108.0
25,500mN6581000E537000,5450.006,435.22,4038.261,0.0,0.0,0.0,0.0,0.0,545,35,47.0,517.0,90.0,7.0,24.0,155.0,0.0,1.0,188,67,94,612,33,63,73,61,94,87,84,99,49,46,8,1175.511,187337.6,34505.657,,537249.5,6581249.5,4,3.0,0.0,12.0,1.0,"POLYGON ((537000 6581000, 537000 6581499, 537499 6581499, 537499 6581000, 537000 6581000))",15.0
26,500mN6581000E537500,72165.928,140.68,3443.625,2014.299,0.0,0.0,0.0,0.0,584,73,5.0,610.0,98.0,4.0,24.0,79.0,0.0,4.0,167,87,98,608,76,65,85,73,87,98,84,85,80,48,8,3474.004,111079.654,37847.531,10375.407,537749.5,6581249.5,5,2.0,0.0,2.0,1.0,"POLYGON ((537500 6581000, 537500 6581499, 537999 6581499, 537999 6581000, 537500 6581000))",4.0
27,500mN6581000E538000,181027.867,557.741,988.483,1821.12,0.0,0.0,1.0,0.0,300,54,0.0,375.0,12.0,0.0,8.0,30.0,0.0,0.0,88,31,59,330,48,47,44,26,59,58,48,36,25,37,9,,36366.93,2515.201,112.847,538249.5,6581249.5,4,3.0,0.0,2.0,1.0,"POLYGON ((538000 6581000, 538000 6581499, 538499 6581499, 538499 6581000, 538000 6581000))",5.0
28,500mN6581000E538500,234078.615,513.917,0.0,1748.744,0.0,1.0,2.0,1.0,3,0,0.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,0,0,3,3,0,0,0,0,0,0,3,0,0,0,0,,,,,538749.5,6581249.5,1,,,,,"POLYGON ((538500 6581000, 538500 6581499, 538999 6581499, 538999 6581000, 538500 6581000))",
29,500mN6581000E540000,198132.169,711.157,711.812,1452.681,0.0,0.0,0.0,1.0,28,0,0.0,23.0,16.0,0.0,0.0,15.0,0.0,0.0,6,4,10,30,4,3,9,3,4,9,7,0,3,0,0,,878.972,29307.953,3669.262,540249.5,6581249.5,4,0.0,0.0,2.0,1.0,"POLYGON ((540000 6581000, 540000 6581499, 540499 6581499, 540499 6581000, 540000 6581000))",2.0
30,500mN6581000E540500,34298.537,563.686,1691.65,573.963,0.0,0.0,0.0,0.0,45,13,0.0,55.0,4.0,0.0,5.0,5.0,0.0,0.0,7,8,21,35,14,7,5,8,13,5,9,9,3,3,0,,5607.85,251.533,208524.535,540749.5,6581249.5,4,2.0,0.0,17.0,1.0,"POLYGON ((540500 6581000, 540500 6581499, 540999 6581499, 540999 6581000, 540500 6581000))",19.0
31,500mN6581000E542500,193427.543,1196.388,424.057,1994.842,0.0,0.0,0.0,2.0,21,3,0.0,3.0,21.0,1.0,1.0,5.0,0.0,0.0,10,3,0,21,0,3,5,4,0,7,3,0,3,0,0,,10465.156,57.839,,542749.5,6581249.5,3,,,,,"POLYGON ((542500 6581000, 542500 6581499, 542999 6581499, 542999 6581000, 542500 6581000))",
32,500mN6581000E543000,151614.131,724.02,2107.737,684.437,0.0,4.0,0.0,0.0,87,20,3.0,92.0,20.0,1.0,0.0,37.0,0.0,2.0,24,13,27,88,26,13,19,11,20,19,20,12,5,3,0,,22896.575,53556.547,16574.786,543249.5,6581249.5,4,1.0,0.0,23.5,2.0,"POLYGON ((543000 6581000, 543000 6581499, 543499 6581499, 543499 6581000, 543000 6581000))",24.5
33,500mN6581500E535000,205345.425,975.778,771.04,548.439,0.0,0.0,1.0,0.0,48,12,14.0,46.0,10.0,0.0,1.0,28.0,0.0,0.0,14,7,15,66,3,6,11,6,3,13,9,6,11,6,0,,,39543.957,,535249.5,6581749.5,2,0.0,0.0,2.0,1.0,"POLYGON ((535000 6581500, 535000 6581999, 535499 6581999, 535499 6581500, 535000 6581500))",2.0
34,500mN6581500E535500,6206.966,0.0,3422.523,81.04,0.0,0.0,0.0,1.0,382,22,103.0,252.0,80.0,4.0,6.0,143.0,0.0,5.0,113,56,48,419,9,43,58,42,40,75,51,63,40,19,4,,59695.095,170633.96,,535749.5,6581749.5,3,0.0,0.0,10.0,1.0,"POLYGON ((535500 6581500, 535500 6581999, 535999 6581999, 535999 6581500, 535500 6581500))",10.0
35,500mN6581500E536000,1081.279,0.0,3773.814,0.0,0.0,0.0,0.0,0.0,389,17,133.0,258.0,51.0,6.0,11.0,148.0,0.0,1.0,104,63,56,422,12,35,68,38,52,72,55,54,41,22,5,,43132.652,184348.785,,536249.5,6581749.5,3,1.0,0.0,0.0,1.0,"POLYGON ((536000 6581500, 536000 6581999, 536499 6581999, 536499 6581500, 536000 6581500))",1.0
36,500mN6581500E536500,41092.432,0.0,3337.111,1086.573,0.0,0.0,0.0,0.0,226,9,56.0,175.0,19.0,1.0,7.0,97.0,0.0,5.0,70,24,37,237,5,20,22,23,34,36,39,26,24,20,6,,122322.563,31412.576,36304.232,536749.5,6581749.5,4,3.0,0.0,3.0,1.0,"POLYGON ((536500 6581500, 536500 6581999, 536999 6581999, 536999 6581500, 536500 6581500))",6.0
37,500mN6581500E537000,34683.803,193.574,3297.097,626.502,0.0,0.0,0.0,1.0,350,24,106.0,251.0,41.0,4.0,16.0,103.0,0.0,2.0,96,51,62,382,14,42,55,46,34,67,54,37,35,17,11,,84207.481,110487.073,,537249.5,6581749.5,3,3.0,0.0,1.0,1.0,"POLYGON ((537000 6581500, 537000 6581999, 537499 6581999, 537499 6581500, 537000 6581500))",4.0
38,500mN6581500E537500,27168.981,611.476,3850.009,217.647,0.0,1.0,0.0,0.0,322,44,57.0,334.0,25.0,4.0,18.0,105.0,0.0,1.0,97,55,42,386,23,38,56,41,48,68,59,44,31,30,0,,152042.895,39334.277,18811.463,537749.5,6581749.5,4,4.0,0.0,50.0,1.0,"POLYGON ((537500 6581500, 537500 6581999, 537999 6581999, 537999 6581500, 537500 6581500))",54.0
39,500mN6581500E538000,12240.649,82.034,4122.059,133.932,0.0,0.0,1.0,0.0,568,65,49.0,616.0,49.0,9.0,32.0,125.0,0.0,3.0,168,105,95,653,44,86,64,75,105,96,98,97,46,39,9,,198670.149,10247.339,14458.734,538249.5,6581749.5,4,0.0,0.0,2.0,1.0,"POLYGON ((538000 6581500, 538000 6581999, 538499 6581999, 538499 6581500, 538000 6581500))",2.0
40,500mN6581500E538500,127724.297,35.255,3338.055,2353.892,0.0,0.0,0.0,1.0,204,19,23.0,212.0,5.0,0.0,7.0,41.0,0.0,1.0,71,36,22,217,16,22,27,28,23,36,42,24,17,16,5,,46938.516,22404.29,56967.171,538749.5,6581749.5,4,2.0,0.0,4.0,1.0,"POLYGON ((538500 6581500, 538500 6581999, 538999 6581999, 538999 6581500, 538500 6581500))",6.0
41,500mN6581500E539000,147207.935,539.437,1564.038,2236.835,0.0,0.0,0.0,2.0,124,3,35.0,81.0,27.0,0.0,5.0,54.0,0.0,0.0,34,19,19,141,0,14,13,11,14,20,20,20,19,11,0,,57819.609,21099.334,7207.528,539249.5,6581749.5,4,1.0,0.0,2.0,1.0,"POLYGON ((539000 6581500, 539000 6581999, 539499 6581999, 539499 6581500, 539000 6581500))",3.0
42,500mN6581500E539500,125062.196,0.0,1460.042,1049.645,0.0,1.0,0.0,1.0,120,4,4.0,91.0,37.0,0.0,1.0,57.0,0.0,0.0,33,16,17,133,0,13,11,16,21,10,29,13,7,13,0,,44579.417,44536.808,,539749.5,6581749.5,3,1.0,0.0,0.0,1.0,"POLYGON ((539500 6581500, 539500 6581999, 539999 6581999, 539999 6581500, 539500 6581500))",1.0
43,500mN6581500E540000,182972.698,0.0,898.13,405.796,0.0,1.0,1.0,0.0,77,5,3.0,66.0,23.0,1.0,1.0,33.0,0.0,2.0,19,16,13,91,0,15,9,10,10,11,11,11,8,3,4,,,45881.679,,540249.5,6581749.5,2,1.0,0.0,2.0,1.0,"POLYGON ((540000 6581500, 540000 6581999, 540499 6581999, 540499 6581500, 540000 6581500))",3.0
